year,textblob,GDPpc,life_expectancy,Democrat,Republican,z_GDPpc,z_life_expectancy,z_textblob,text_per_year
1928,0.0402151491495754,11451.069,58.3,0.0,1.0,-3.39530323801346,-6.659606621430265,-0.4877533642615342,1
1933,0.10112777112631466,8048.225,60.88,1.0,0.0,-3.776070489463919,-5.70413064510897,0.3631214399365199,1
1939,0.126217199461164,11171.448,63.07,1.0,0.0,-3.4265919246584637,-4.89308708381299,0.7135900575903161,1
1940,0.17156598032469428,12005.095,63.23,1.0,0.0,-3.3333095182742976,-4.8338327597000434,1.347057043342657,1
1941,0.1232128434468212,13553.402,63.8,1.0,0.0,-3.160058966444268,-4.622739230047665,0.6716228798119344,1
1943,0.1577845429825367,16050.217,64.3,1.0,0.0,-2.880673433363623,-4.437569467194701,1.1545472248594857,1
1944,0.07317526418665116,16999.327,65.09,1.0,0.0,-2.774471090257637,-4.145001241887016,-0.0273408829333342,1
1946,0.1306619296933437,14822.4665,66.28,1.0,0.0,-3.018054748331904,-3.704297206296963,0.77567750093602,1
1948,0.0934772361014065,14734.232,67.25,1.0,0.0,-3.027927903859488,-3.345067866362214,0.2562528258450936,1
1950,0.11476828844780494,15240.0,68.1,1.0,0.0,-2.971334098433322,-3.030279269512178,0.5536627781425053,1
1951,0.0505909779779126,16125.0,68.2,1.0,0.0,-2.8723054572338858,-2.993245316941582,-0.3428157300537127,1
1953,0.10280175502633684,16917.0,68.7,0.0,1.0,-2.783683215618119,-2.808075554088618,0.3865049469493358,1
1954,0.10399463857826766,16512.0,69.5,0.0,1.0,-2.829001407353454,-2.5118039335238773,0.40316807071156363,1
1955,0.040593183389804464,17370.0,69.5,0.0,1.0,-2.732993978936373,-2.5118039335238773,-0.4824726884394049,1
1956,0.0977253694015401,17397.0,69.6,0.0,1.0,-2.729972766154018,-2.474769980953287,0.31559405058072776,1
1957,0.05884641963673255,17406.0,69.4,0.0,1.0,-2.7289656952265657,-2.5488378860944683,-0.2274973103721683,1
1960,0.08821970811931036,18057.0,69.8,0.0,1.0,-2.6561208981408786,-2.4007020758121005,0.18281159236740585,1
1963,0.0640449831782704,19514.0,69.9,1.0,0.0,-2.493087304663388,-2.3636681232415047,-0.154879737987806,1
1964,0.194845067213488,20360.0,70.2,1.0,0.0,-2.3984226374829096,-2.2525662655297274,1.6722374058950318,1
1965,0.1541751834723077,21390.0,70.2,1.0,0.0,-2.283168964674526,-2.2525662655297274,1.1041288884477112,1
1966,0.1138681888124268,22529.0,70.2,1.0,0.0,-2.1557185439670024,-2.2525662655297274,0.541089487481933,1
1967,0.1043949716717672,22842.0,70.5,1.0,0.0,-2.12069485504562,-2.14146440781795,0.40876023423188457,1
1968,0.0842165188553761,23691.0,70.2,1.0,0.0,-2.0256944975559907,-2.2525662655297274,0.12689193613558986,1
1969,0.085990838541569,24195.0,70.5,0.0,1.0,-1.9692985256186848,-2.14146440781795,0.15167701132330147,1
1970,0.09408524325033346,23958.0,70.7,0.0,1.0,-1.9958180600415847,-2.067396502676764,0.26474594183658395,1
1971,0.054847669103430544,24394.0,71.1,0.0,1.0,-1.947031068445026,-1.919260692394396,-0.28335496296770923,1
1972,0.10589130364025182,25414.0,71.2,0.0,1.0,-1.832896363333811,-1.8822267398238002,0.42966216111307903,1
1973,0.07335714047864775,26602.0,71.4,0.0,1.0,-1.6999630009101605,-1.8081588346826132,-0.024800293654482053,1
1974,0.06861706615258303,26286.0,71.9,0.0,1.0,-1.7353223801406938,-1.6229890718296496,-0.0910133326468719,1
1975,0.12052287047382593,25956.0,72.5,0.0,1.0,-1.7722483141472634,-1.4007853564060957,0.6340472484826928,1
1976,0.08172118886235813,27058.0,72.8,0.0,1.0,-1.6489380739192645,-1.2896834986943182,0.09203522909662029,1
1977,0.09463044447110035,28001.0,73.2,1.0,0.0,-1.543419420076249,-1.141547688411945,0.27236173585289986,1
1978,0.07378699567155816,29286.0,73.4,1.0,0.0,-1.3996320709900614,-1.0674797832707588,-0.01879574252481909,1
1979,0.10620701528513267,29949.0,73.8,1.0,0.0,-1.3254445126677716,-0.919343972988391,0.43407226652807207,1
1980,0.07228665588081343,29611.0,73.7,1.0,0.0,-1.3632656208320764,-0.9563779255589816,-0.03975365377953369,1
1981,0.08835651474714003,30056.0,74.1,0.0,1.0,-1.3134715583080658,-0.8082421152766138,0.18472261357926592,1
1982,0.09293093105882728,29210.0,74.5,0.0,1.0,-1.408136225488544,-0.6601063049942407,0.24862161278855333,1
1983,0.051188387800124,30158.0,74.5,0.0,1.0,-1.3020580877969443,-0.6601063049942407,-0.3344706457509186,1
1984,0.0892176482032568,32076.0,74.7,0.0,1.0,-1.0874400834799731,-0.5860383998530543,0.1967515943895413,1
1985,0.04104196089056645,33023.0,74.6,0.0,1.0,-0.9814738425580904,-0.6230723524236501,-0.4762038158199475,1
1986,0.0680734479503373,33850.0,74.7,0.0,1.0,-0.8889352140022327,-0.5860383998530543,-0.09860701383122432,1
1987,0.0813701643724095,34730.0,74.9,0.0,1.0,-0.7904660566513807,-0.5119704947118677,0.08713184644026684,1
1988,0.08245123008609162,35863.0,74.8,0.0,1.0,-0.6636870165621584,-0.5490044472824636,0.10223301180802541,1
1989,0.08050271368550356,36756.0,75.1,0.0,1.0,-0.5637632012049869,-0.4379025895706864,0.07501462164481454,1
1990,0.07210288791990938,36982.0,75.4,0.0,1.0,-0.5384745312489726,-0.326800731858904,-0.04232066735862113,1
1991,0.07158693672165481,36463.9576,75.5,0.0,1.0,-0.5964418023853509,-0.2897667792883134,-0.04952787434698962,1
1992,0.059924794178132915,37240.299,75.8,0.0,1.0,-0.509571707527873,-0.1786649215765362,-0.2124337373886151,1
1993,0.09626468966396312,37761.5352,75.6,1.0,0.0,-0.4512470604883727,-0.2527328267177228,0.2951901417458479,1
1994,0.08149427501328228,38807.28,75.7,1.0,0.0,-0.3342315954201506,-0.2156988741471268,0.08886552024750916,1
1995,0.08186252550496992,39390.6254,75.9,1.0,0.0,-0.268957129530951,-0.1416309690059403,0.09400952907264565,1
1996,0.091512061771664,40412.751,76.2,1.0,0.0,-0.1545845766460259,-0.0305291112941632,0.22880174479208576,1
1997,0.07276909945922481,41722.6703,76.5,1.0,0.0,-0.0080088383862324,0.0805727464176139,-0.03301450724477837,1
1998,0.07998187063987987,43072.758,76.7,1.0,0.0,0.1430616140782567,0.1546406515588004,0.06773908153373186,1
1999,0.10153994002886084,44575.8486,76.7,1.0,0.0,0.3112525968100594,0.1546406515588004,0.3688789352284552,1
2000,0.07877857466977348,45886.4705,76.8,1.0,0.0,0.4579069537402564,0.1916746041293911,0.050930509028881236,1
2001,0.08045351297493133,45878.0092,76.9,0.0,1.0,0.4569601616026507,0.228708556699987,0.07432734791375535,1
2002,0.07162030221489815,46266.2959,77.0,0.0,1.0,0.5004081890566766,0.2657425092705776,-0.04906179922808818,1
