,movies,year
173,badlieutenant_dialog.txt,1992
174,frightnight_dialog.txt,2011
175,redridinghood_dialog.txt,2011
176,obsessed_dialog.txt,2014
177,longkissgoodnightthe_dialog.txt,1996
178,snowwhiteandthehuntsman_dialog.txt,2012
179,ladykillersthe_dialog.txt,2004
180,twilightnewmoon_dialog.txt,2009
181,manwhowasnttherethe_dialog.txt,2001
182,pleasantville_dialog.txt,1998
183,cliffhanger_dialog.txt,1993
184,darkknightrisesthe_dialog.txt,2012
185,44inchchest_dialog.txt,2009
186,petsematary_dialog.txt,1989
187,edwood_dialog.txt,1994
188,ciderhouserulesthe_dialog.txt,1999
189,itsawonderfullife_dialog.txt,1946
190,hellboundhellraiserii_dialog.txt,1988
191,worldisnotenoughthe_dialog.txt,1999
192,precious_dialog.txt,2009
193,gravity_dialog.txt,2013
194,mud_dialog.txt,2012
195,arsenicandoldlace_dialog.txt,1943
196,tombstone_dialog.txt,1993
197,twinpeaks_dialog.txt,1992
198,boondocksaints2allsaintsday_dialog.txt,2009
199,rushhour_dialog.txt,1990
200,zerodarkthirty_dialog.txt,2012
201,imaginariumofdoctorparnassusthe_dialog.txt,2009
202,apocalypsenow_dialog.txt,1979
203,piratesofthecaribbean_dialog.txt,2003
204,hottubtimemachine_dialog.txt,2010
205,howtotrainyourdragon2_dialog.txt,2014
206,fairgame_dialog.txt,1995
207,paul_dialog.txt,2011
208,bringingoutthedead_dialog.txt,1999
209,austinpowersinternationalmanofmystery_dialog.txt,1997
210,blindsidethe_dialog.txt,2009
211,batman_dialog.txt,2022
212,ali_dialog.txt,2001
213,ninotchka_dialog.txt,1939
214,bartonfink_dialog.txt,1991
215,reindeergames_dialog.txt,2000
216,godfatherpartiiithe_dialog.txt,1990
217,crouchingtigerhiddendragon_dialog.txt,2000
218,idesofmarchthe_dialog.txt,2011
219,buried_dialog.txt,2010
220,americanbeauty_dialog.txt,1999
221,touristthe_dialog.txt,2010
222,1492conquestofparadise_dialog.txt,1992
223,italianjobthe_dialog.txt,2003
224,scarface_dialog.txt,1983
225,catchmeifyoucan_dialog.txt,2002
226,scream3_dialog.txt,2000
227,detroitrockcity_dialog.txt,1999
228,somethingsgottagive_dialog.txt,2003
229,bloodsimple_dialog.txt,1984
230,storytelling_dialog.txt,2001
231,sexandthecity_dialog.txt,2010
232,flashgordon_dialog.txt,1980
233,cars2_dialog.txt,2011
234,cradle2thegrave_dialog.txt,2003
235,confessionsofadangerousmind_dialog.txt,2002
236,youcancountonme_dialog.txt,2000
237,gamethe_dialog.txt,2021
238,startrek_dialog.txt,2016
239,pianistthe_dialog.txt,2002
240,stationwest_dialog.txt,1948
241,elephantmanthe_dialog.txt,1980
242,signs_dialog.txt,2002
243,17again_dialog.txt,2009
244,gardenstate_dialog.txt,2004
245,withnailandi_dialog.txt,1987
246,birthdaygirl_dialog.txt,2001
247,manintheironmask_dialog.txt,1998
248,hardrain_dialog.txt,1998
249,next_dialog.txt,2007
250,looper_dialog.txt,2012
251,rememberme_dialog.txt,2010
252,blackswan_dialog.txt,2010
253,doubleindemnity_dialog.txt,1944
254,nickoftime_dialog.txt,1995
255,threemusketeersthe_dialog.txt,2011
256,tmnt_dialog.txt,2007
257,bonnieandclyde_dialog.txt,1967
258,ragingbull_dialog.txt,1980
259,brick_dialog.txt,2013
260,avengersthe2012_dialog.txt,2009
261,prophecythe_dialog.txt,1979
262,jfk_dialog.txt,1991
263,beloved_dialog.txt,1998
